Patient,RV_Dice,MYO_Dice,LV_Dice,Mean_Dice
patient129_frame01.h5,0.9159859444026228,0.840719451109189,0.9575292676367492,0.9047448877161871
patient129_frame08.h5,0.9269506516315517,0.8577954319477724,0.9049310392128359,0.89655904093072
patient130_frame01.h5,0.9622675059226051,0.8844701439176026,0.972445883027617,0.9397278442892749
patient130_frame11.h5,0.915165462985861,0.8964907719835461,0.8885433873395643,0.9000665407696572
patient131_frame01.h5,0.9258996300240686,0.8685649363865252,0.9677981459201297,0.9207542374435745
patient131_frame09.h5,0.9261124241636979,0.873038324181785,0.9699272174290199,0.923025988591501
patient132_frame01.h5,0.961110334825527,0.8787929402105231,0.9646094225101813,0.9348375658487438
patient132_frame15.h5,0.928202247138865,0.8717124644666714,0.9545975100316008,0.9181707405457123
patient133_frame01.h5,0.9165853128909542,0.8209448650516719,0.9482048263405473,0.8952450014277243
patient133_frame10.h5,0.9410313727787688,0.7962350020275013,0.9280463815809764,0.8884375854624155
patient134_frame01.h5,0.9256352764744871,0.8551771585238956,0.9112816576430328,0.8973646975471384
patient134_frame15.h5,0.9163716272840469,0.8913350961877292,0.8109885856430665,0.8728984363716142
patient135_frame01.h5,0.8640843455677222,0.8494131356988751,0.9445654540979871,0.8860209784548614
patient135_frame10.h5,0.7945394372870188,0.8571883457365715,0.9325351448891818,0.861420975970924
patient136_frame01.h5,0.9314386640228453,0.8153238976037477,0.9417755898429054,0.8961793838231662
patient136_frame12.h5,0.8975226748480407,0.8194901315227872,0.9382460413557706,0.8850862825755329
patient137_frame01.h5,0.8709491407639863,0.82111077012451,0.9426349425986511,0.8782316178290491
patient137_frame11.h5,0.7699644849548488,0.8106724747720843,0.947939829892221,0.8428589298730514
patient138_frame01.h5,0.9220610921985769,0.9181591276911083,0.9529875643947232,0.9310692614281361
patient138_frame10.h5,0.8469525958412017,0.8750466522029168,0.7576017128998711,0.8265336536479966
patient139_frame01.h5,0.9276416428283072,0.8264284034410332,0.954472799400472,0.9028476152232708
patient139_frame08.h5,0.9076167888749866,0.8791001124463846,0.8960280373177549,0.8942483128797086
patient140_frame01.h5,0.9256764109321297,0.7700992613835396,0.9183783202247989,0.871384664180156
patient140_frame09.h5,0.8121787998518841,0.8569218166534577,0.9232893910280421,0.8641300025111279
patient141_frame01.h5,0.9300281635201993,0.8291589980932096,0.9217425585832353,0.8936432400655482
patient141_frame11.h5,0.9084819127636565,0.8597908744566072,0.8079790447697,0.8587506106633213
patient142_frame01.h5,0.9317373017938241,0.8921345302899548,0.9608996796781932,0.928257170587324
patient142_frame12.h5,0.8226212979170413,0.8328794255488438,0.893850371761124,0.849783698409003
patient143_frame01.h5,0.9322919471622789,0.869137290304854,0.9633540961531807,0.9215944445401045
patient143_frame12.h5,0.8241019034171888,0.8903721312567261,0.9581758735952539,0.8908833027563897
patient144_frame01.h5,0.8695254778833479,0.8956318092968504,0.9626038780422742,0.9092537217408241
patient144_frame09.h5,0.8154280337129957,0.8826466915567464,0.7776955339803366,0.8252567530833597
patient145_frame01.h5,0.8459788571061181,0.8835281746221607,0.9402325422628521,0.8899131913303769
patient145_frame13.h5,0.8644724102457714,0.895966271598908,0.9368948246296415,0.8991111688247736
patient146_frame01.h5,0.953999171090344,0.9022803532902636,0.9606050188407972,0.9389615144071349
patient146_frame10.h5,0.8887990293391025,0.8890927858189532,0.8074977682810183,0.8617965278130247
patient147_frame01.h5,0.9313997737084387,0.800086262612315,0.9261618938417167,0.8858826433874901
patient147_frame09.h5,0.9112947112793106,0.8935673878291498,0.8983910070755143,0.9010843687279916
patient148_frame01.h5,0.9402106791906857,0.8856879657578354,0.9688221708447562,0.9315736052644258
patient148_frame10.h5,0.9135205878472243,0.8965312336851718,0.9488868505837667,0.919646224038721
patient149_frame01.h5,0.9102495543266377,0.8912724254043751,0.9750088830599309,0.9255102875969813
patient149_frame12.h5,0.9283375071346236,0.9112555426768356,0.9648344144100488,0.9348091547405026
patient150_frame01.h5,0.9565762876589826,0.893295927165203,0.9649591990012371,0.9382771379418076
patient150_frame12.h5,0.8768064099475166,0.8843129306133511,0.8279301743571247,0.8630165049726641
